date,current_logret,mu,sigma,sigma_model,drift,realized_sigma_20d
2011-01-13,-0.019173839,-0.016587777,0.011898017,0.004508329,0.0025860604,0.011301266161557215
2011-01-14,-0.017069722,9.583507e-05,0.01138422,0.004313644,0.017165557,0.01153385955256096
2011-01-17,3.54e-05,0.010749577,0.011235657,0.0042573516,0.010714173,0.01153738130728017
2011-01-18,0.012180663,-0.0051036463,0.011128136,0.0042166105,-0.017284308,0.011726328810311984
2011-01-19,-0.005781832,0.0045899437,0.0116337575,0.0044081975,0.010371774,0.011751249890078008
2011-01-20,0.003604481,-0.003188859,0.011404401,0.004321291,-0.0067933397,0.011825637804661547
2011-01-21,-0.002647261,0.008213963,0.01100423,0.0041696606,0.0108612245,0.011690765957976917
2011-01-24,0.008173301,-0.010237013,0.0114559205,0.0043408126,-0.018410314,0.011941155182597267
2011-01-25,-0.009772068,-0.01362332,0.01190289,0.004510176,-0.0038512524,0.01205089465504125
2011-01-27,-0.014719059,-0.015532209,0.011834121,0.0044841184,-0.0008131498,0.011910917026990805
2011-01-28,-0.016579396,-0.0015059672,0.011451618,0.0043391823,0.015073428,0.01195022315583576
2011-01-31,-0.001134502,-0.016136497,0.011352487,0.00430162,-0.015001995,0.011739033648523384
2011-02-01,-0.016241114,0.0041595106,0.011837564,0.0044854227,0.020400625,0.011769112919255444
2011-02-02,0.002728277,0.017185323,0.012453734,0.0047188983,0.014457046,0.011905699150283687
2011-02-03,0.017292549,-0.023901414,0.012585115,0.0047686803,-0.041193962,0.012941435618309004
2011-02-04,-0.023988333,0.00028524658,0.013636558,0.0051670875,0.02427358,0.013637601777573082
2011-02-07,4.63e-05,-0.016637737,0.012970157,0.0049145785,-0.016684068,0.01298145005775382
2011-02-08,-0.015586029,-0.011671963,0.011866701,0.004496463,0.0039140666,0.01241600879203844
2011-02-09,-0.011167908,-0.0042287754,0.011876124,0.004500034,0.0069391327,0.012498941401055006
2011-02-10,-0.005296143,0.01545237,0.010396314,0.0039393124,0.020748513,0.011227203161267263
2011-02-11,0.015983976,0.026974779,0.011231179,0.0042556548,0.010990804,0.011755519931611119
2011-02-14,0.027124085,0.005865625,0.012249359,0.004641458,-0.02125846,0.013229983864405945
2011-02-15,0.004571646,0.0008895258,0.01250936,0.004739976,-0.0036821195,0.013301565878084393
2011-02-16,0.000127741,0.011991259,0.012488889,0.004732219,0.011863518,0.012913620635140352
2011-02-17,0.011742811,-0.015957203,0.0126714595,0.0048013977,-0.027700014,0.013245441317267254
2011-02-18,-0.015901619,0.010520068,0.012815173,0.0048558526,0.026421687,0.013580239602803463
2011-02-21,0.010867723,-0.0077588083,0.0130495485,0.004944661,-0.01862653,0.013892723232209466
2011-02-22,-0.008991833,-0.0058171386,0.013092513,0.004960941,0.003174695,0.013787874934359155
2011-02-23,-0.005840561,-0.032703403,0.013342457,0.0050556483,-0.026862843,0.013705689728272923
2011-02-24,-0.032647588,0.0072620567,0.014442219,0.005472364,0.039909642,0.015081543666168548
2011-02-25,0.007732131,0.0062096952,0.014180481,0.005373188,-0.0015224351,0.014920593650013539
2011-02-28,0.005584438,0.034518734,0.014964658,0.0056703235,0.028934296,0.015014765394528493
2011-03-01,0.034833596,0.0025469451,0.016098278,0.006099868,-0.032286648,0.016646978492256426
2011-03-03,0.002513975,-0.0012012052,0.016465725,0.0062390994,-0.0037151806,0.016645849855775288
2011-03-04,0.000460463,-0.014920413,0.016327612,0.0061867665,-0.015380875,0.016195513388673418
2011-03-07,-0.013743315,0.009746322,0.014883692,0.0056396443,0.023489637,0.015542076979110187
2011-03-08,0.010497213,0.0017554986,0.01511113,0.005725824,-0.008741715,0.015696666743418346
2011-03-09,0.001845889,-0.005909049,0.013936728,0.0052808262,-0.0077549377,0.015194793555729082
2011-03-10,-0.006639257,-0.009890123,0.0148893865,0.005641802,-0.0032508657,0.015020751304204421
2011-03-11,-0.00894894,0.015591728,0.014508959,0.0054976526,0.024540668,0.015138965885100811
2011-03-14,0.015678593,-0.014157088,0.013843,0.005245311,-0.029835679,0.015124328502716375
2011-03-15,-0.014907658,0.012623788,0.013505438,0.0051174043,0.027531445,0.014356589861187583
2011-03-16,0.011221927,-0.009919242,0.013876376,0.0052579576,-0.021141168,0.014545240897905048
2011-03-17,-0.011772572,-0.0125229405,0.014632913,0.0055446206,-0.0007503687,0.014792852244908556
2011-03-18,-0.013484002,-0.0019257483,0.015160042,0.005744357,0.011558252,0.014785597930699109
2011-03-21,-0.001666944,0.0071244636,0.014059715,0.0053274278,0.008791408,0.01439753384280917
2011-03-22,0.009110726,0.012216237,0.014549662,0.0055130757,0.0031055121,0.014327330988135075
2011-03-23,0.012190217,0.008265027,0.013725726,0.0052008745,-0.0039251903,0.0144842617033462
